2026-03-09 15:11:21 | INFO     | prediction           |     R²:   0.9204
2026-03-09 15:11:21 | INFO     | prediction           |     MAPE: 6.92%
2026-03-09 15:11:21 | INFO     | prediction           | ✓ energy_consumption:
2026-03-09 15:11:21 | INFO     | prediction           |     MAE:  11.4767
2026-03-09 15:11:21 | INFO     | prediction           |     RMSE: 15.8734
2026-03-09 15:11:21 | INFO     | prediction           |     R²:   0.9489
2026-03-09 15:11:21 | INFO     | prediction           |     MAPE: 2.87%
2026-03-09 15:11:21 | INFO     | prediction           | ✓ Overall R² Score: 0.9264
2026-03-09 15:11:21 | INFO     | prediction           | Step 5/5: Saving model and metrics...
2026-03-09 15:11:21 | INFO     | prediction           | ✓ Saved model → C:\Users\HP\ACMGS\models\saved\predictor.pkl
2026-03-09 15:11:21 | INFO     | prediction           | ✓ Saved metrics → C:\Users\HP\ACMGS\models\saved\predictor_metrics.pkl
2026-03-09 15:11:21 | INFO     | prediction           | ============================================================
2026-03-09 15:11:21 | INFO     | prediction           | ✓ PHASE 4: COMPLETE
2026-03-09 15:11:21 | INFO     | prediction           | ============================================================
2026-03-09 15:11:21 | INFO     | prediction           | ✓ Model trained on 1600 samples
2026-03-09 15:11:21 | INFO     | prediction           | ✓ Model tested on 400 samples
2026-03-09 15:11:21 | INFO     | prediction           | ✓ Overall R² Score: 0.9264
2026-03-09 15:11:21 | INFO     | prediction           | ✓ Model saved to: C:\Users\HP\ACMGS\models\saved
2026-03-09 15:11:21 | INFO     | prediction           | ==================================================
2026-03-09 15:11:21 | INFO     | prediction           | PREDICTION MODEL RESULTS:
2026-03-09 15:11:21 | INFO     | prediction           | Model type: XGBoost
2026-03-09 15:11:21 | INFO     | prediction           | Test samples: 400
2026-03-09 15:11:21 | INFO     | prediction           | YIELD — MAE: 0.0249 | RMSE: 0.0314 | R2: 0.9100
2026-03-09 15:11:21 | INFO     | prediction           | QUALITY — MAE: 0.0331 | RMSE: 0.0435 | R2: 0.9204
2026-03-09 15:11:21 | INFO     | prediction           | ENERGY_CONSUMPTION — MAE: 11.4767 | RMSE: 15.8734 | R2: 0.9489
2026-03-09 15:11:21 | INFO     | prediction           | Overall R2 Score: 0.9264
2026-03-09 15:11:21 | INFO     | prediction           | ==================================================
2026-03-09 15:13:55 | INFO     | optimization         | Phase 4 predictor loaded for optimization
2026-03-09 15:13:55 | INFO     | optimization         | ============================================================
2026-03-09 15:13:55 | INFO     | optimization         | PHASE 5: NSGA-II OPTIMIZATION STARTING
2026-03-09 15:13:55 | INFO     | optimization         | Population=100 | Generations=50
2026-03-09 15:13:56 | INFO     | optimization         | Generation 1/50 complete
2026-03-09 15:13:57 | INFO     | optimization         | Generation 10/50 complete
2026-03-09 15:13:59 | INFO     | optimization         | Generation 20/50 complete
2026-03-09 15:14:01 | INFO     | optimization         | Generation 30/50 complete
2026-03-09 15:14:02 | INFO     | optimization         | Generation 40/50 complete
2026-03-09 15:14:04 | INFO     | optimization         | Generation 50/50 complete
2026-03-09 15:14:04 | INFO     | optimization         | Pareto solutions found: 100
2026-03-09 15:14:04 | INFO     | optimization         | PHASE 5: COMPLETE
2026-03-09 15:14:04 | INFO     | optimization         | ============================================================
